ESTADO,CH06,PONDIIO,PP04D_COD,NIVEL_ED,ANO4,PP04B_COD,TRIMESTRE,AGLOMERADO,CH04,Actividad,Periodo
1,53,249,41311.0,6,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,28,251,48313.0,4,2016,8402,2,7,1,Servicios de la seguridad social obligatoria,2016-T2
1,48,156,80203.0,6,2016,1100,2,7,1,Elaboración de bebidas,2016-T2
1,48,159,40332.0,5,2016,8600,2,7,2,Actividades de atención a la salud humana,2016-T2
1,41,288,11202.0,6,2016,8401,2,7,2,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,58,252,30332.0,3,2016,8403,2,7,1,,2016-T2
1,53,251,30332.0,3,2016,6500,2,7,2,"Seguros, reaseguros y fondos de pensiones, excepto los planes de seguridad social de afiliación obligatoria",2016-T2
1,28,244,10333.0,5,2016,8401,2,7,2,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,52,264,33114.0,2,2016,4804,2,7,2,"Comercio de textiles y avíos, mercería, prendas de vestir, calzado, marroquinería y artículos similares",2016-T2
1,37,281,72314.0,1,2016,4000,2,7,1,Construcción,2016-T2
1,38,259,72113.0,4,2016,4000,2,7,1,Construcción,2016-T2
1,53,215,41312.0,6,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,40,278,30113.0,6,2016,4803,2,7,1,"Comercio de alimentos, bebidas y tabaco",2016-T2
1,39,265,3001.0,6,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,40,270,10333.0,5,2016,8401,2,7,2,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,40,252,10333.0,4,2016,8401,2,7,2,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,55,247,10201.0,3,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,47,252,10333.0,5,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,29,253,41312.0,6,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,25,235,53313.0,5,2016,8402,2,7,1,Servicios de la seguridad social obligatoria,2016-T2
1,45,284,72113.0,2,2016,4000,2,7,1,Construcción,2016-T2
1,33,267,11333.0,5,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,20,248,55314.0,3,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,58,533,80323.0,2,2016,2202,2,7,1,Fabricación de productos de plástico,2016-T2
1,66,244,10333.0,1,2016,8401,2,7,2,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,49,222,50111.0,3,2016,9000,2,7,1,Actividades artísticas y de espectáculos,2016-T2
1,37,222,58113.0,2,2016,8102,2,7,1,Servicios de paisajismo y jardinería,2016-T2
1,36,259,34323.0,2,2016,4904,2,7,1,Transporte automotor de cargas,2016-T2
1,36,251,30333.0,4,2016,4810,2,7,2,Venta al por menor en puestos móviles y no realizadas en tiendas n.c.p.,2016-T2
1,31,240,53313.0,4,2016,5601,2,7,2,"Servicios de expendio de comidas y bebidas, excepto por vendedores ambulantes",2016-T2
1,36,241,30113.0,1,2016,4804,2,7,1,"Comercio de textiles y avíos, mercería, prendas de vestir, calzado, marroquinería y artículos similares",2016-T2
1,26,223,30313.0,1,2016,4804,2,7,2,"Comercio de textiles y avíos, mercería, prendas de vestir, calzado, marroquinería y artículos similares",2016-T2
1,45,234,48333.0,6,2016,8402,2,7,1,Servicios de la seguridad social obligatoria,2016-T2
1,38,238,48333.0,4,2016,9401,2,7,2,"Actividades de organizaciones empresariales, profesionales y de empleadores",2016-T2
1,22,255,48312.0,6,2016,8402,2,7,1,Servicios de la seguridad social obligatoria,2016-T2
1,59,218,56313.0,2,2016,8501,2,7,1,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,46,255,41312.0,6,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,63,172,58323.0,2,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,18,244,80313.0,3,2016,1009,2,7,1,Elaboración de productos alimenticios n.c.p.,2016-T2
1,53,235,30314.0,5,2016,4804,2,7,2,"Comercio de textiles y avíos, mercería, prendas de vestir, calzado, marroquinería y artículos similares",2016-T2
1,46,241,48322.0,4,2016,8402,2,7,1,Servicios de la seguridad social obligatoria,2016-T2
1,45,239,41312.0,6,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,54,532,34323.0,2,2016,4903,2,7,1,Transporte automotor de pasajeros,2016-T2
1,50,557,40313.0,4,2016,8600,2,7,2,Actividades de atención a la salud humana,2016-T2
1,47,244,10313.0,4,2016,8401,2,7,2,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,49,229,20331.0,3,2016,8401,2,7,2,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,56,227,10201.0,3,2016,8401,2,7,2,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,46,299,5002.0,5,2016,0103,2,7,1,Cultivo de productos agrícolas en combinación con la cría de animales,2016-T2
1,46,230,30123.0,5,2016,4804,2,7,1,"Comercio de textiles y avíos, mercería, prendas de vestir, calzado, marroquinería y artículos similares",2016-T2
1,68,248,30113.0,1,2016,4808,2,7,2,Tiendas no especializadas con predominancia de alimento y bebidas,2016-T2
1,49,232,40312.0,5,2016,8600,2,7,2,Actividades de atención a la salud humana,2016-T2
1,56,156,72331.0,6,2016,8501,2,7,1,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,50,163,41312.0,6,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,53,191,55314.0,2,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,24,199,55314.0,1,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,28,216,55314.0,4,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,23,216,55314.0,4,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,56,227,3001.0,6,2016,8401,2,7,2,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,35,219,56314.0,2,2016,8102,2,7,2,Servicios de paisajismo y jardinería,2016-T2
1,25,250,72314.0,4,2016,4000,2,7,1,Construcción,2016-T2
1,30,237,34323.0,4,2016,4904,2,7,1,Transporte automotor de cargas,2016-T2
1,42,240,80313.0,2,2016,1009,2,7,1,Elaboración de productos alimenticios n.c.p.,2016-T2
1,35,246,30113.0,2,2016,4807,2,7,2,"Comercio de mercaderías n.c.p., incluso mercaderías usadas",2016-T2
1,53,234,55314.0,2,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,45,236,72113.0,1,2016,4000,2,7,1,Construcción,2016-T2
1,30,232,55314.0,1,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,39,238,34123.0,3,2016,4904,2,7,1,Transporte automotor de cargas,2016-T2
1,35,243,30113.0,3,2016,7702,2,7,2,Actividades de vehículos de transporte; de maquinaria y equipo sin operador y gestión de activos intan-,2016-T2
1,57,172,10313.0,6,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,55,175,10333.0,3,2016,8401,2,7,2,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,38,173,72113.0,5,2016,3501,2,7,1,"Generación, transmisión y distribución de energía eléctrica",2016-T2
1,37,175,41312.0,6,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,36,200,56313.0,6,2016,8600,2,7,1,Actividades de atención a la salud humana,2016-T2
1,38,209,40311.0,6,2016,8600,2,7,2,Actividades de atención a la salud humana,2016-T2
1,37,239,48313.0,4,2016,8402,2,7,2,Servicios de la seguridad social obligatoria,2016-T2
1,27,253,72313.0,4,2016,4000,2,7,1,Construcción,2016-T2
1,48,323,30113.0,1,2016,4808,2,7,2,Tiendas no especializadas con predominancia de alimento y bebidas,2016-T2
1,44,177,33114.0,2,2016,4810,2,7,1,Venta al por menor en puestos móviles y no realizadas en tiendas n.c.p.,2016-T2
1,40,176,53113.0,4,2016,5601,2,7,2,"Servicios de expendio de comidas y bebidas, excepto por vendedores ambulantes",2016-T2
1,56,305,55314.0,2,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,25,340,30314.0,3,2016,4804,2,7,1,"Comercio de textiles y avíos, mercería, prendas de vestir, calzado, marroquinería y artículos similares",2016-T2
1,28,244,10333.0,5,2016,4000,2,7,1,Construcción,2016-T2
1,26,249,10313.0,5,2016,8401,2,7,2,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,62,201,53313.0,6,2016,5601,2,7,1,"Servicios de expendio de comidas y bebidas, excepto por vendedores ambulantes",2016-T2
1,52,243,56313.0,2,2016,5500,2,7,1,"Servicios de alojamiento en hoteles, campamentos y otros tipos de hospedaje temporal",2016-T2
1,56,258,80123.0,1,2016,1009,2,7,2,Elaboración de productos alimenticios n.c.p.,2016-T2
1,27,183,56313.0,4,2016,8501,2,7,1,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,28,175,55314.0,4,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,37,227,57113.0,4,2016,9602,2,7,2,Servicios de peluquería y tratamientos de belleza,2016-T2
1,39,250,10333.0,4,2016,4803,2,7,1,"Comercio de alimentos, bebidas y tabaco",2016-T2
1,50,233,57113.0,2,2016,9602,2,7,2,Servicios de peluquería y tratamientos de belleza,2016-T2
1,47,203,55314.0,1,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,21,245,72313.0,3,2016,4000,2,7,1,Construcción,2016-T2
1,55,249,47314.0,4,2016,9401,2,7,1,"Actividades de organizaciones empresariales, profesionales y de empleadores",2016-T2
1,49,211,40312.0,6,2016,8600,2,7,1,Actividades de atención a la salud humana,2016-T2
1,41,215,40322.0,6,2016,8600,2,7,2,Actividades de atención a la salud humana,2016-T2
1,37,233,34323.0,4,2016,9999,2,7,1,,2016-T2
1,35,240,57113.0,4,2016,9602,2,7,2,Servicios de peluquería y tratamientos de belleza,2016-T2
1,43,201,10333.0,4,2016,8401,2,7,2,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,58,328,5002.0,2,2016,3300,2,7,1,"Mantenimiento, reparación e instalación de máquinas y equipos",2016-T2
1,32,210,56314.0,3,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,29,253,80313.0,4,2016,2500,2,7,1,"Fabricación de productos elaborados de metal y servicios de trabajos de metales, excepto máquinas y",2016-T2
1,26,253,72312.0,4,2016,4000,2,7,1,Construcción,2016-T2
1,24,246,82314.0,4,2016,4504,2,7,1,"Venta, mantenimiento y reparación de motocicletas y de sus piezas y accesorios",2016-T2
1,21,236,55314.0,3,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,25,309,55314.0,5,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,54,245,34323.0,3,2016,4903,2,7,1,Transporte automotor de pasajeros,2016-T2
1,47,251,55314.0,4,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,27,260,30133.0,5,2016,4805,2,7,1,"Comercio de materiales de construcción, artículos de ferretería, plomería, pinturería, espejos y artículos",2016-T2
1,45,229,41312.0,6,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,51,276,80113.0,3,2016,2500,2,7,1,"Fabricación de productos elaborados de metal y servicios de trabajos de metales, excepto máquinas y",2016-T2
1,26,279,41312.0,6,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,41,255,55314.0,3,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,45,292,72314.0,1,2016,4000,2,7,1,Construcción,2016-T2
1,24,261,47113.0,3,2016,8000,2,7,1,Actividades de investigación y seguridad,2016-T2
1,57,234,46311.0,6,2016,8600,2,7,2,Actividades de atención a la salud humana,2016-T2
1,38,260,34323.0,3,2016,4903,2,7,1,Transporte automotor de pasajeros,2016-T2
1,54,231,55314.0,4,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,28,246,55314.0,5,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,24,263,48313.0,4,2016,8402,2,7,1,Servicios de la seguridad social obligatoria,2016-T2
1,27,250,72314.0,2,2016,4000,2,7,1,Construcción,2016-T2
1,25,157,40332.0,6,2016,8509,2,7,2,Otros tipos de enseñanza n.c.p.,2016-T2
1,42,255,80123.0,6,2016,1400,2,7,2,"Confección de prendas de vestir, terminación y teñido de pieles",2016-T2
1,46,271,72313.0,4,2016,6100,2,7,1,Telecomunicaciones,2016-T2
1,54,201,46311.0,6,2016,8600,2,7,2,Actividades de atención a la salud humana,2016-T2
1,52,197,10333.0,4,2016,9402,2,7,2,Actividades de sindicatos,2016-T2
1,41,206,80323.0,4,2016,2202,2,7,1,Fabricación de productos de plástico,2016-T2
1,40,208,30113.0,3,2016,4808,2,7,1,Tiendas no especializadas con predominancia de alimento y bebidas,2016-T2
1,38,212,30113.0,5,2016,4808,2,7,2,Tiendas no especializadas con predominancia de alimento y bebidas,2016-T2
1,19,222,72113.0,5,2016,3501,2,7,1,"Generación, transmisión y distribución de energía eléctrica",2016-T2
1,49,202,54333.0,4,2016,5500,2,7,2,"Servicios de alojamiento en hoteles, campamentos y otros tipos de hospedaje temporal",2016-T2
1,40,196,56314.0,4,2016,8101,2,7,2,Servicios de apoyo a edificios y actividades de limpieza en general,2016-T2
1,19,207,80323.0,5,2016,1009,2,7,1,Elaboración de productos alimenticios n.c.p.,2016-T2
1,54,237,82113.0,4,2016,4504,2,7,1,"Venta, mantenimiento y reparación de motocicletas y de sus piezas y accesorios",2016-T2
1,53,241,30113.0,4,2016,4807,2,7,2,"Comercio de mercaderías n.c.p., incluso mercaderías usadas",2016-T2
1,31,233,32314.0,5,2016,4808,2,7,2,Tiendas no especializadas con predominancia de alimento y bebidas,2016-T2
1,23,276,6001.0,2,2016,4000,2,7,1,Construcción,2016-T2
1,20,243,72314.0,3,2016,4000,2,7,1,Construcción,2016-T2
1,40,233,10313.0,5,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,50,252,71313.0,5,2016,3501,2,7,1,"Generación, transmisión y distribución de energía eléctrica",2016-T2
1,65,246,52332.0,3,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,59,251,20333.0,4,2016,9200,2,7,2,Actividades de juego de azar y apuestas,2016-T2
1,59,242,40111.0,6,2016,8600,2,7,1,Actividades de atención a la salud humana,2016-T2
1,31,246,47333.0,4,2016,4803,2,7,1,"Comercio de alimentos, bebidas y tabaco",2016-T2
1,43,225,10333.0,4,2016,8401,2,7,2,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,29,216,92312.0,4,2016,6000,2,7,1,Actividades de programación y difusión de radio y televisión,2016-T2
1,27,259,34323.0,4,2016,4903,2,7,1,Transporte automotor de pasajeros,2016-T2
1,26,258,41312.0,6,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,49,253,72332.0,4,2016,4000,2,7,1,Construcción,2016-T2
1,58,215,41311.0,6,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,61,245,71331.0,6,2016,3501,2,7,1,"Generación, transmisión y distribución de energía eléctrica",2016-T2
1,54,237,72313.0,2,2016,4000,2,7,1,Construcción,2016-T2
1,32,242,32314.0,4,2016,4808,2,7,1,Tiendas no especializadas con predominancia de alimento y bebidas,2016-T2
1,54,243,56314.0,3,2016,4000,2,7,1,Construcción,2016-T2
1,45,177,10203.0,5,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,38,178,72132.0,6,2016,7400,2,7,2,"Otras actividades profesionales, científicas y técnicas",2016-T2
1,64,218,56313.0,4,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,51,245,34323.0,2,2016,8700,2,7,1,Asistencia social relacionada con la atención a la salud,2016-T2
1,36,243,55314.0,2,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,28,249,49313.0,6,2016,8402,2,7,1,Servicios de la seguridad social obligatoria,2016-T2
1,20,238,48313.0,4,2016,8402,2,7,1,Servicios de la seguridad social obligatoria,2016-T2
1,40,250,10322.0,3,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,40,168,30113.0,3,2016,4807,2,7,1,"Comercio de mercaderías n.c.p., incluso mercaderías usadas",2016-T2
1,44,159,41312.0,6,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,34,236,10333.0,3,2016,8600,2,7,1,Actividades de atención a la salud humana,2016-T2
1,34,241,10333.0,4,2016,8600,2,7,2,Actividades de atención a la salud humana,2016-T2
1,23,246,72314.0,3,2016,4000,2,7,1,Construcción,2016-T2
1,47,160,3001.0,6,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,50,159,10333.0,6,2016,8509,2,7,2,Otros tipos de enseñanza n.c.p.,2016-T2
1,34,235,30113.0,3,2016,4803,2,7,1,"Comercio de alimentos, bebidas y tabaco",2016-T2
1,44,219,30314.0,3,2016,8401,2,7,2,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,24,234,55314.0,4,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,50,205,30333.0,6,2016,9409,2,7,1,Actividad de asociaciones n.c.p.,2016-T2
1,45,205,30113.0,5,2016,5601,2,7,2,"Servicios de expendio de comidas y bebidas, excepto por vendedores ambulantes",2016-T2
1,65,209,40312.0,4,2016,8600,2,7,2,Actividades de atención a la salud humana,2016-T2
1,36,240,10312.0,5,2016,4903,2,7,1,Transporte automotor de pasajeros,2016-T2
1,49,236,51312.0,4,2016,9301,2,7,1,Actividades para la práctica deportiva,2016-T2
1,26,248,80123.0,6,2016,7400,2,7,2,"Otras actividades profesionales, científicas y técnicas",2016-T2
1,45,172,20339.0,6,2016,8501,2,7,1,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,33,175,30313.0,6,2016,4807,2,7,2,"Comercio de mercaderías n.c.p., incluso mercaderías usadas",2016-T2
1,45,237,82113.0,4,2016,4502,2,7,1,"Mantenimiento y reparación de vehículos automotores, excepto motocicletas",2016-T2
1,46,234,55314.0,4,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,24,253,82113.0,5,2016,4502,2,7,1,"Mantenimiento y reparación de vehículos automotores, excepto motocicletas",2016-T2
1,21,253,72114.0,5,2016,4502,2,7,1,"Mantenimiento y reparación de vehículos automotores, excepto motocicletas",2016-T2
1,20,253,82113.0,4,2016,4502,2,7,1,"Mantenimiento y reparación de vehículos automotores, excepto motocicletas",2016-T2
1,38,212,48332.0,6,2016,8402,2,7,1,Servicios de la seguridad social obligatoria,2016-T2
1,31,214,30313.0,3,2016,4803,2,7,1,"Comercio de alimentos, bebidas y tabaco",2016-T2
1,33,267,40314.0,4,2016,8600,2,7,1,Actividades de atención a la salud humana,2016-T2
1,50,245,48313.0,4,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,46,249,10333.0,4,2016,9200,2,7,2,Actividades de juego de azar y apuestas,2016-T2
1,31,284,6001.0,5,2016,5601,2,7,1,"Servicios de expendio de comidas y bebidas, excepto por vendedores ambulantes",2016-T2
1,28,289,6001.0,5,2016,5601,2,7,2,"Servicios de expendio de comidas y bebidas, excepto por vendedores ambulantes",2016-T2
1,37,256,47313.0,4,2016,8000,2,7,1,Actividades de investigación y seguridad,2016-T2
1,39,254,55314.0,6,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,56,219,55314.0,4,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,24,240,30313.0,4,2016,4804,2,7,2,"Comercio de textiles y avíos, mercería, prendas de vestir, calzado, marroquinería y artículos similares",2016-T2
1,41,258,10333.0,4,2016,8401,2,7,2,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,45,259,48313.0,2,2016,8402,2,7,1,Servicios de la seguridad social obligatoria,2016-T2
1,40,251,55314.0,2,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,36,204,57113.0,4,2016,9602,2,7,2,Servicios de peluquería y tratamientos de belleza,2016-T2
1,40,202,40312.0,6,2016,8700,2,7,2,Asistencia social relacionada con la atención a la salud,2016-T2
1,30,221,72113.0,2,2016,2500,2,7,1,"Fabricación de productos elaborados de metal y servicios de trabajos de metales, excepto máquinas y",2016-T2
1,43,205,72313.0,4,2016,4000,2,7,1,Construcción,2016-T2
1,27,206,33114.0,4,2016,4804,2,7,2,"Comercio de textiles y avíos, mercería, prendas de vestir, calzado, marroquinería y artículos similares",2016-T2
1,60,149,80313.0,4,2016,9100,2,7,2,"Actividades de bibliotecas, archivos, museos y otras actividades culturales",2016-T2
1,57,226,34123.0,4,2016,4903,2,7,1,Transporte automotor de pasajeros,2016-T2
1,51,223,55314.0,2,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,26,233,48313.0,4,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,57,229,41312.0,6,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,35,271,5002.0,5,2016,4807,2,7,1,"Comercio de mercaderías n.c.p., incluso mercaderías usadas",2016-T2
1,46,210,10333.0,5,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,30,242,44312.0,5,2016,4000,2,7,1,Construcción,2016-T2
1,32,241,41312.0,6,2016,8501,2,7,1,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,36,239,41311.0,6,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,53,242,80113.0,2,2016,1300,2,7,2,"Fabricación de productos textiles, excepto prendas de vestir",2016-T2
1,52,243,80113.0,3,2016,3200,2,7,1,Industrias manufactureras n.c.p.,2016-T2
1,45,241,80113.0,4,2016,3200,2,7,2,Industrias manufactureras n.c.p.,2016-T2
1,71,232,30113.0,2,2016,4807,2,7,2,"Comercio de mercaderías n.c.p., incluso mercaderías usadas",2016-T2
1,48,257,72201.0,6,2016,4000,2,7,1,Construcción,2016-T2
1,63,235,72313.0,4,2016,4000,2,7,1,Construcción,2016-T2
1,61,239,20333.0,4,2016,8403,2,7,2,,2016-T2
1,38,281,30313.0,4,2016,9200,2,7,1,Actividades de juego de azar y apuestas,2016-T2
1,31,251,10333.0,5,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,60,223,41332.0,6,2016,8509,2,7,1,Otros tipos de enseñanza n.c.p.,2016-T2
1,51,227,41312.0,6,2016,8509,2,7,2,Otros tipos de enseñanza n.c.p.,2016-T2
1,49,210,6001.0,6,2016,4807,2,7,1,"Comercio de mercaderías n.c.p., incluso mercaderías usadas",2016-T2
1,31,209,41332.0,6,2016,8509,2,7,2,Otros tipos de enseñanza n.c.p.,2016-T2
1,34,273,34323.0,4,2016,4000,2,7,1,Construcción,2016-T2
1,33,273,30113.0,4,2016,4804,2,7,2,"Comercio de textiles y avíos, mercería, prendas de vestir, calzado, marroquinería y artículos similares",2016-T2
1,69,240,82123.0,1,2016,1400,2,7,2,"Confección de prendas de vestir, terminación y teñido de pieles",2016-T2
1,24,247,55314.0,2,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,61,203,30113.0,2,2016,4807,2,7,2,"Comercio de mercaderías n.c.p., incluso mercaderías usadas",2016-T2
1,31,221,30113.0,4,2016,4807,2,7,2,"Comercio de mercaderías n.c.p., incluso mercaderías usadas",2016-T2
1,20,270,10333.0,4,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,27,242,10333.0,6,2016,4501,2,7,2,"Venta de vehículos automotores, excepto motocicletas",2016-T2
1,35,232,30113.0,6,2016,4803,2,7,2,"Comercio de alimentos, bebidas y tabaco",2016-T2
1,44,214,40312.0,6,2016,8600,2,7,2,Actividades de atención a la salud humana,2016-T2
1,22,218,10333.0,5,2016,8401,2,7,1,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,37,198,30313.0,6,2016,4807,2,7,2,"Comercio de mercaderías n.c.p., incluso mercaderías usadas",2016-T2
1,28,236,82313.0,2,2016,4502,2,7,1,"Mantenimiento y reparación de vehículos automotores, excepto motocicletas",2016-T2
